School Name,address,Zip Code
PEREZ,1241 W 19TH St,60608
PERSHING,3200 S CALUMET Ave,60616
PERSPECTIVES - JOSLIN HS,1930 S ARCHER Ave,60616
PERSPECTIVES - LEADERSHIP HS,8522 S LAFAYETTE Ave,60620
PERSPECTIVES - MATH & SCI HS,3663 S WABASH Ave,60653
PERSPECTIVES - TECH HS,8522 S LAFAYETTE Ave,60620
PETERSON,5510 N CHRISTIANA Ave,60625
PHILLIPS HS,244 E PERSHING Rd,60653
PHOENIX MILITARY HS,145 S CAMPBELL Ave,60612
PICCOLO,1040 N KEELER Ave,60651
PICKARD,2301 W 21ST Pl,60608
PILSEN,1420 W 17TH St,60608
PIRIE,650 E 85TH St,60619
PLAMONDON,2642 W 15TH Pl,60608
PLATO,5545 W HARRISON St,60644
POE,10538 S LANGLEY Ave,60628
POLARIS,620 N SAWYER Ave,60624
PORTAGE PARK,5330 W BERTEAU Ave,60641
POWELL,7511 S SOUTH SHORE Dr,60649
PRESCOTT,1632 W WRIGHTWOOD Ave,60614
PRIETO,2231 N CENTRAL Ave,60639
PRITZKER,2009 W SCHILLER St,60622
PROSSER HS,2148 N LONG Ave,60639
PROVIDENCE ENGLEWOOD,6515 S ASHLAND Ave,60636
PRUSSING,4650 N MENARD Ave,60630
PULASKI,2230 W MCLEAN Ave,60647
PULLMAN,11311 S FORRESTVILLE Ave,60628
RABY HS,3545 W FULTON Blvd,60624
RANDOLPH,7316 S HOYNE Ave,60636
RAVENSWOOD,4332 N PAULINA St,60613
RAY,5631 S KIMBARK Ave,60637
REAVIS,834 E 50TH St,60615
REILLY,3650 W SCHOOL St,60618
REINBERG,3425 N MAJOR Ave,60634
REVERE,1010 E 72ND St,60619
RICHARDS HS,5009 S LAFLIN St,60609
RICHARDSON,6018 S KARLOV,60629
RICKOVER MILITARY HS,5700 W BERTEAU Ave,60634
ROBINSON,4225 S LAKE PARK Ave,60653
ROGERS,7345 N WASHTENAW Ave,60645
ROOSEVELT HS,3436 W WILSON Ave,60625
ROWE,1424 N CLEAVER St,60642
RUDOLPH,1628 W WASHINGTON Blvd,60612
RUGGLES,7831 S PRAIRIE Ave,60619
RUIZ,2410 S LEAVITT St,60608
RYDER,8716 S WALLACE St,60620
SABIN,2216 W HIRSCH St,60622
SADLOWSKI,3930 E 105TH,60617
SAFE ACHIEVE ES,7877 S COLES Ave,60649
SAFE ACHIEVE HS,7877 S COLES Ave,60649
SAFE ACHIEVE WEST HS,230 N KOLMAR,60624
SALAZAR,160 W WENDELL St,60610
SANDOVAL,5534 S SAINT LOUIS Ave,60629
SAUCEDO,2850 W 24TH Blvd,60623
SAUGANASH,6040 N KILPATRICK Ave,60646
SAWYER,5248 S SAWYER Ave,60632
SAYRE,1850 N NEWLAND Ave,60707
SCAMMON,4201 W HENDERSON St,60641
SCHMID,9755 S GREENWOOD Ave,60628
SCHUBERT,2727 N LONG Ave,60639
SCHURZ HS,3601 N MILWAUKEE Ave,60641
SENN HS,5900 N GLENWOOD Ave,60660
SEWARD,4600 S HERMITAGE Ave,60609
SHERIDAN,533 W 27TH St,60616
SHERMAN,1000 W 52ND St,60609
